host,src_ip,timestamp,event_count,failed_login_count,distinct_dst_ports,distinct_dst_ips,distinct_users,total_bytes_out,max_bytes_out,attack_present,hour,is_weekday
host-01,10.0.0.121,2026-06-03 22:13:00,1,0,1,1,0,3178,3178,0,22,1
host-01,10.0.0.122,2026-06-02 06:41:00,1,0,1,1,0,40947,40947,0,6,1
host-01,10.0.0.122,2026-06-04 19:01:00,1,0,1,1,0,39739,39739,0,19,1
host-01,10.0.0.122,2026-06-05 00:18:00,1,0,1,1,0,19149,19149,0,0,1
host-01,10.0.0.123,2026-06-02 21:02:00,1,0,1,1,0,12120,12120,0,21,1
host-01,10.0.0.123,2026-06-03 11:49:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.124,2026-06-03 12:07:00,1,0,1,1,0,35236,35236,0,12,1
host-01,10.0.0.124,2026-06-05 11:58:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.125,2026-06-02 00:30:00,1,0,1,1,0,5090,5090,0,0,1
host-01,10.0.0.126,2026-06-01 08:36:00,1,0,1,1,0,37127,37127,0,8,1
host-01,10.0.0.126,2026-06-04 09:41:00,1,0,0,0,1,0,0,0,9,1
host-01,10.0.0.126,2026-06-05 10:18:00,1,0,1,1,0,27247,27247,0,10,1
host-01,10.0.0.127,2026-06-01 13:48:00,1,0,1,1,0,26846,26846,0,13,1
host-01,10.0.0.127,2026-06-02 11:22:00,1,0,1,1,0,19339,19339,0,11,1
host-01,10.0.0.127,2026-06-03 18:23:00,1,0,1,1,0,41654,41654,0,18,1
host-01,10.0.0.128,2026-06-02 09:02:00,1,0,0,0,1,0,0,0,9,1
host-01,10.0.0.128,2026-06-04 02:09:00,1,0,1,1,0,21358,21358,0,2,1
host-01,10.0.0.129,2026-06-03 15:36:00,1,0,1,1,0,40196,40196,0,15,1
host-01,10.0.0.13,2026-06-02 04:55:00,1,0,1,1,0,8582,8582,0,4,1
host-01,10.0.0.130,2026-06-04 15:31:00,1,0,1,1,0,47405,47405,0,15,1
host-01,10.0.0.131,2026-06-02 05:26:00,1,0,1,1,0,37268,37268,0,5,1
host-01,10.0.0.133,2026-06-01 07:33:00,1,0,0,0,1,0,0,0,7,1
host-01,10.0.0.133,2026-06-02 19:26:00,1,0,1,1,0,9485,9485,0,19,1
host-01,10.0.0.133,2026-06-05 19:59:00,1,0,1,1,0,21407,21407,0,19,1
host-01,10.0.0.134,2026-06-01 14:21:00,1,0,0,0,1,0,0,0,14,1
host-01,10.0.0.134,2026-06-03 07:25:00,1,0,0,0,1,0,0,0,7,1
host-01,10.0.0.135,2026-06-01 10:08:00,1,0,0,0,1,0,0,0,10,1
host-01,10.0.0.135,2026-06-04 07:23:00,1,1,0,0,1,0,0,0,7,1
host-01,10.0.0.136,2026-06-04 09:36:00,1,0,1,1,0,46349,46349,0,9,1
host-01,10.0.0.137,2026-06-01 13:22:00,1,0,0,0,1,0,0,0,13,1
host-01,10.0.0.137,2026-06-03 11:38:00,1,0,1,1,0,11235,11235,0,11,1
host-01,10.0.0.138,2026-06-01 02:57:00,1,0,1,1,0,22276,22276,0,2,1
host-01,10.0.0.138,2026-06-02 21:01:00,1,0,1,1,0,46956,46956,0,21,1
host-01,10.0.0.139,2026-06-02 10:20:00,1,0,1,1,0,10693,10693,0,10,1
host-01,10.0.0.139,2026-06-05 23:12:00,1,0,1,1,0,47258,47258,0,23,1
host-01,10.0.0.14,2026-06-04 17:12:00,1,0,1,1,0,16610,16610,0,17,1
host-01,10.0.0.140,2026-06-02 20:12:00,1,0,1,1,0,49090,49090,0,20,1
host-01,10.0.0.140,2026-06-05 17:29:00,1,0,0,0,1,0,0,0,17,1
host-01,10.0.0.141,2026-06-01 15:22:00,1,0,1,1,0,39355,39355,0,15,1
host-01,10.0.0.141,2026-06-02 09:02:00,1,0,1,1,0,17423,17423,0,9,1
host-01,10.0.0.141,2026-06-04 03:50:00,1,0,1,1,0,3049,3049,0,3,1
host-01,10.0.0.142,2026-06-01 14:09:00,1,0,1,1,0,37884,37884,0,14,1
host-01,10.0.0.142,2026-06-04 10:47:00,1,0,1,1,0,24706,24706,0,10,1
host-01,10.0.0.143,2026-06-01 10:00:00,1,0,1,1,0,30970,30970,0,10,1
host-01,10.0.0.143,2026-06-05 02:27:00,1,0,0,0,1,0,0,0,2,1
host-01,10.0.0.144,2026-06-03 07:06:00,1,0,0,0,1,0,0,0,7,1
host-01,10.0.0.146,2026-06-02 15:25:00,1,0,1,1,0,6811,6811,0,15,1
host-01,10.0.0.147,2026-06-05 06:26:00,1,0,1,1,0,36474,36474,0,6,1
host-01,10.0.0.147,2026-06-05 22:49:00,1,0,1,1,0,35665,35665,0,22,1
host-01,10.0.0.148,2026-06-03 18:32:00,1,0,1,1,0,42387,42387,0,18,1
host-01,10.0.0.149,2026-06-02 10:09:00,1,0,0,0,1,0,0,0,10,1
host-01,10.0.0.149,2026-06-02 12:22:00,1,0,1,1,0,37163,37163,0,12,1
host-01,10.0.0.15,2026-06-04 12:27:00,1,0,1,1,0,40986,40986,0,12,1
host-01,10.0.0.150,2026-06-05 00:19:00,1,0,1,1,0,43489,43489,0,0,1
host-01,10.0.0.151,2026-06-01 10:32:00,1,0,1,1,0,29389,29389,0,10,1
host-01,10.0.0.151,2026-06-04 14:22:00,1,0,0,0,1,0,0,0,14,1
host-01,10.0.0.152,2026-06-04 05:49:00,1,0,1,1,0,37922,37922,0,5,1
host-01,10.0.0.152,2026-06-04 08:37:00,1,0,0,0,1,0,0,0,8,1
host-01,10.0.0.153,2026-06-03 21:44:00,1,0,1,1,0,18230,18230,0,21,1
host-01,10.0.0.155,2026-06-05 18:25:00,1,0,1,1,0,4589,4589,0,18,1
host-01,10.0.0.156,2026-06-01 09:54:00,1,0,1,1,0,18400,18400,0,9,1
host-01,10.0.0.158,2026-06-04 02:15:00,1,0,1,1,0,30541,30541,0,2,1
host-01,10.0.0.158,2026-06-05 09:45:00,1,0,1,1,0,13889,13889,0,9,1
host-01,10.0.0.16,2026-06-03 02:24:00,1,0,1,1,0,45684,45684,0,2,1
host-01,10.0.0.160,2026-06-05 09:00:00,1,0,1,1,0,16279,16279,0,9,1
host-01,10.0.0.161,2026-06-01 22:01:00,1,0,1,1,0,13148,13148,0,22,1
host-01,10.0.0.161,2026-06-02 14:57:00,1,0,0,0,1,0,0,0,14,1
host-01,10.0.0.161,2026-06-02 15:09:00,1,0,1,1,0,40376,40376,0,15,1
host-01,10.0.0.161,2026-06-02 15:10:00,1,0,1,1,0,28488,28488,0,15,1
host-01,10.0.0.164,2026-06-04 15:01:00,1,0,1,1,0,14021,14021,0,15,1
host-01,10.0.0.164,2026-06-04 16:26:00,1,0,1,1,0,3354,3354,0,16,1
host-01,10.0.0.165,2026-06-04 21:31:00,1,0,1,1,0,40639,40639,0,21,1
host-01,10.0.0.165,2026-06-05 16:59:00,1,0,0,0,1,0,0,0,16,1
host-01,10.0.0.166,2026-06-01 02:15:00,1,0,1,1,0,14980,14980,0,2,1
host-01,10.0.0.166,2026-06-03 14:16:00,1,0,1,1,0,11613,11613,0,14,1
host-01,10.0.0.166,2026-06-03 23:56:00,1,0,1,1,0,33783,33783,0,23,1
host-01,10.0.0.166,2026-06-05 11:53:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.167,2026-06-05 18:43:00,1,0,1,1,0,6863,6863,0,18,1
host-01,10.0.0.168,2026-06-05 04:52:00,1,0,1,1,0,26831,26831,0,4,1
host-01,10.0.0.168,2026-06-05 23:30:00,1,0,1,1,0,44984,44984,0,23,1
host-01,10.0.0.169,2026-06-04 18:46:00,1,0,0,0,1,0,0,0,18,1
host-01,10.0.0.169,2026-06-05 23:24:00,1,0,1,1,0,24434,24434,0,23,1
host-01,10.0.0.17,2026-06-04 10:30:00,1,0,1,1,0,34647,34647,0,10,1
host-01,10.0.0.17,2026-06-05 21:36:00,1,0,1,1,0,26677,26677,0,21,1
host-01,10.0.0.170,2026-06-02 21:14:00,1,0,0,0,1,0,0,0,21,1
host-01,10.0.0.170,2026-06-04 10:08:00,1,0,1,1,0,1315,1315,0,10,1
host-01,10.0.0.171,2026-06-01 14:05:00,1,0,1,1,0,20764,20764,0,14,1
host-01,10.0.0.171,2026-06-02 11:08:00,1,0,1,1,0,46531,46531,0,11,1
host-01,10.0.0.171,2026-06-05 13:27:00,1,0,0,0,1,0,0,0,13,1
host-01,10.0.0.172,2026-06-02 16:25:00,1,0,0,0,1,0,0,0,16,1
host-01,10.0.0.172,2026-06-03 14:28:00,1,0,0,0,1,0,0,0,14,1
host-01,10.0.0.172,2026-06-05 14:42:00,1,0,1,1,0,12067,12067,0,14,1
host-01,10.0.0.174,2026-06-04 20:21:00,1,0,1,1,0,38850,38850,0,20,1
host-01,10.0.0.174,2026-06-05 09:45:00,1,0,0,0,1,0,0,0,9,1
host-01,10.0.0.174,2026-06-05 09:51:00,1,0,1,1,0,49146,49146,0,9,1
host-01,10.0.0.175,2026-06-05 21:12:00,1,0,1,1,0,34512,34512,0,21,1
host-01,10.0.0.176,2026-06-02 00:11:00,1,0,0,0,1,0,0,0,0,1
host-01,10.0.0.176,2026-06-03 19:59:00,1,0,0,0,1,0,0,0,19,1
host-01,10.0.0.176,2026-06-04 20:26:00,1,0,0,0,1,0,0,0,20,1
host-01,10.0.0.177,2026-06-03 13:26:00,1,0,0,0,1,0,0,0,13,1
host-01,10.0.0.178,2026-06-01 00:17:00,1,0,1,1,0,42367,42367,0,0,1
host-01,10.0.0.178,2026-06-01 18:20:00,1,0,1,1,0,38288,38288,0,18,1
host-01,10.0.0.178,2026-06-02 16:04:00,1,0,0,0,1,0,0,0,16,1
host-01,10.0.0.179,2026-06-04 14:49:00,1,0,1,1,0,14942,14942,0,14,1
host-01,10.0.0.179,2026-06-05 18:37:00,1,0,1,1,0,33566,33566,0,18,1
host-01,10.0.0.18,2026-06-02 22:51:00,1,0,0,0,1,0,0,0,22,1
host-01,10.0.0.18,2026-06-03 14:23:00,1,0,1,1,0,7743,7743,0,14,1
host-01,10.0.0.18,2026-06-04 10:51:00,1,0,1,1,0,40683,40683,0,10,1
host-01,10.0.0.18,2026-06-04 15:00:00,1,0,0,0,1,0,0,0,15,1
host-01,10.0.0.181,2026-06-01 09:12:00,1,0,0,0,1,0,0,0,9,1
host-01,10.0.0.181,2026-06-02 04:07:00,1,0,0,0,1,0,0,0,4,1
host-01,10.0.0.182,2026-06-05 02:46:00,1,0,0,0,1,0,0,0,2,1
host-01,10.0.0.182,2026-06-05 23:23:00,1,0,1,1,0,34317,34317,0,23,1
host-01,10.0.0.183,2026-06-05 08:08:00,1,0,1,1,0,31153,31153,0,8,1
host-01,10.0.0.184,2026-06-02 02:12:00,1,0,0,0,1,0,0,0,2,1
host-01,10.0.0.185,2026-06-01 09:48:00,1,0,1,1,0,19345,19345,0,9,1
host-01,10.0.0.186,2026-06-01 12:48:00,1,0,1,1,0,12078,12078,0,12,1
host-01,10.0.0.187,2026-06-04 13:39:00,1,0,1,1,0,37615,37615,0,13,1
host-01,10.0.0.19,2026-06-01 03:51:00,1,0,1,1,0,31019,31019,0,3,1
host-01,10.0.0.19,2026-06-03 07:14:00,1,0,1,1,0,48068,48068,0,7,1
host-01,10.0.0.190,2026-06-01 06:30:00,1,0,1,1,0,43606,43606,0,6,1
host-01,10.0.0.190,2026-06-02 19:10:00,1,0,0,0,1,0,0,0,19,1
host-01,10.0.0.190,2026-06-03 10:24:00,1,0,1,1,0,13625,13625,0,10,1
host-01,10.0.0.190,2026-06-03 23:27:00,1,0,1,1,0,37505,37505,0,23,1
host-01,10.0.0.191,2026-06-02 22:21:00,1,0,1,1,0,24673,24673,0,22,1
host-01,10.0.0.191,2026-06-04 14:33:00,1,0,1,1,0,21645,21645,0,14,1
host-01,10.0.0.191,2026-06-04 18:39:00,1,0,1,1,0,14936,14936,0,18,1
host-01,10.0.0.192,2026-06-03 22:33:00,1,0,1,1,0,48225,48225,0,22,1
host-01,10.0.0.194,2026-06-04 17:03:00,1,0,1,1,0,15043,15043,0,17,1
host-01,10.0.0.195,2026-06-02 12:45:00,1,0,1,1,0,23612,23612,0,12,1
host-01,10.0.0.195,2026-06-04 12:57:00,1,0,1,1,0,32338,32338,0,12,1
host-01,10.0.0.195,2026-06-05 08:25:00,1,0,1,1,0,4561,4561,0,8,1
host-01,10.0.0.196,2026-06-03 09:46:00,1,0,1,1,0,40401,40401,0,9,1
host-01,10.0.0.197,2026-06-02 10:28:00,1,0,0,0,1,0,0,0,10,1
host-01,10.0.0.197,2026-06-05 08:42:00,1,0,1,1,0,45433,45433,0,8,1
host-01,10.0.0.198,2026-06-05 06:07:00,1,0,0,0,1,0,0,0,6,1
host-01,10.0.0.198,2026-06-05 14:04:00,1,0,1,1,0,40515,40515,0,14,1
host-01,10.0.0.199,2026-06-01 03:04:00,1,0,1,1,0,29288,29288,0,3,1
host-01,10.0.0.199,2026-06-02 17:40:00,1,0,1,1,0,3276,3276,0,17,1
host-01,10.0.0.2,2026-06-01 18:36:00,1,0,1,1,0,23636,23636,0,18,1
host-01,10.0.0.2,2026-06-04 23:11:00,1,0,1,1,0,29241,29241,0,23,1
host-01,10.0.0.20,2026-06-01 01:29:00,1,0,1,1,0,4143,4143,0,1,1
host-01,10.0.0.20,2026-06-03 06:38:00,1,0,1,1,0,42080,42080,0,6,1
host-01,10.0.0.200,2026-06-02 12:33:00,1,0,0,0,1,0,0,0,12,1
host-01,10.0.0.200,2026-06-02 19:17:00,1,0,1,1,0,5277,5277,0,19,1
host-01,10.0.0.200,2026-06-02 23:23:00,1,0,1,1,0,1680,1680,0,23,1
host-01,10.0.0.200,2026-06-03 02:05:00,1,0,0,0,1,0,0,0,2,1
host-01,10.0.0.200,2026-06-05 15:48:00,1,0,0,0,1,0,0,0,15,1
host-01,10.0.0.201,2026-06-01 13:26:00,1,0,1,1,0,24587,24587,0,13,1
host-01,10.0.0.201,2026-06-02 07:13:00,1,0,0,0,1,0,0,0,7,1
host-01,10.0.0.202,2026-06-01 18:02:00,1,0,1,1,0,22610,22610,0,18,1
host-01,10.0.0.203,2026-06-01 20:17:00,1,0,1,1,0,3946,3946,0,20,1
host-01,10.0.0.203,2026-06-02 16:50:00,1,0,0,0,1,0,0,0,16,1
host-01,10.0.0.204,2026-06-04 15:35:00,1,0,1,1,0,1797,1797,0,15,1
host-01,10.0.0.205,2026-06-02 07:34:00,1,0,1,1,0,7281,7281,0,7,1
host-01,10.0.0.205,2026-06-02 21:35:00,1,0,0,0,1,0,0,0,21,1
host-01,10.0.0.205,2026-06-03 14:01:00,1,0,0,0,1,0,0,0,14,1
host-01,10.0.0.208,2026-06-01 10:13:00,1,0,1,1,0,34054,34054,0,10,1
host-01,10.0.0.208,2026-06-03 16:17:00,1,0,0,0,1,0,0,0,16,1
host-01,10.0.0.208,2026-06-04 00:40:00,1,0,0,0,1,0,0,0,0,1
host-01,10.0.0.209,2026-06-03 01:51:00,1,0,1,1,0,9080,9080,0,1,1
host-01,10.0.0.209,2026-06-03 02:08:00,1,0,1,1,0,33600,33600,0,2,1
host-01,10.0.0.21,2026-06-05 23:45:00,1,0,1,1,0,2596,2596,0,23,1
host-01,10.0.0.210,2026-06-05 02:40:00,1,0,0,0,1,0,0,0,2,1
host-01,10.0.0.211,2026-06-01 18:22:00,1,0,1,1,0,3485,3485,0,18,1
host-01,10.0.0.211,2026-06-05 12:49:00,1,0,1,1,0,45071,45071,0,12,1
host-01,10.0.0.212,2026-06-02 23:44:00,1,0,1,1,0,30363,30363,0,23,1
host-01,10.0.0.214,2026-06-04 16:21:00,1,0,1,1,0,47519,47519,0,16,1
host-01,10.0.0.215,2026-06-02 20:58:00,1,0,1,1,0,37622,37622,0,20,1
host-01,10.0.0.215,2026-06-02 22:10:00,1,0,1,1,0,20524,20524,0,22,1
host-01,10.0.0.215,2026-06-03 02:34:00,1,0,1,1,0,11498,11498,0,2,1
host-01,10.0.0.215,2026-06-03 14:43:00,1,0,1,1,0,22878,22878,0,14,1
host-01,10.0.0.215,2026-06-04 02:58:00,1,0,0,0,1,0,0,0,2,1
host-01,10.0.0.215,2026-06-04 16:08:00,1,0,0,0,1,0,0,0,16,1
host-01,10.0.0.217,2026-06-01 11:00:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.217,2026-06-01 12:35:00,1,0,1,1,0,6679,6679,0,12,1
host-01,10.0.0.217,2026-06-01 14:46:00,1,0,1,1,0,23375,23375,0,14,1
host-01,10.0.0.217,2026-06-03 17:26:00,1,0,1,1,0,25214,25214,0,17,1
host-01,10.0.0.218,2026-06-03 15:51:00,1,0,1,1,0,28243,28243,0,15,1
host-01,10.0.0.219,2026-06-02 02:08:00,1,0,1,1,0,8137,8137,0,2,1
host-01,10.0.0.219,2026-06-02 12:18:00,1,0,0,0,1,0,0,0,12,1
host-01,10.0.0.219,2026-06-03 07:38:00,1,0,0,0,1,0,0,0,7,1
host-01,10.0.0.22,2026-06-02 08:42:00,1,0,0,0,1,0,0,0,8,1
host-01,10.0.0.22,2026-06-03 04:19:00,1,0,0,0,1,0,0,0,4,1
host-01,10.0.0.22,2026-06-03 14:14:00,1,0,1,1,0,6134,6134,0,14,1
host-01,10.0.0.22,2026-06-05 17:41:00,1,1,0,0,1,0,0,0,17,1
host-01,10.0.0.220,2026-06-02 12:39:00,1,0,1,1,0,19502,19502,0,12,1
host-01,10.0.0.220,2026-06-02 16:38:00,1,0,1,1,0,28144,28144,0,16,1
host-01,10.0.0.220,2026-06-03 11:44:00,1,0,1,1,0,16430,16430,0,11,1
host-01,10.0.0.220,2026-06-04 15:29:00,1,0,1,1,0,23911,23911,0,15,1
host-01,10.0.0.220,2026-06-05 08:48:00,1,0,0,0,1,0,0,0,8,1
host-01,10.0.0.220,2026-06-05 12:08:00,1,0,1,1,0,11877,11877,0,12,1
host-01,10.0.0.221,2026-06-01 06:56:00,1,1,0,0,1,0,0,0,6,1
host-01,10.0.0.221,2026-06-01 13:07:00,1,0,1,1,0,48063,48063,0,13,1
host-01,10.0.0.221,2026-06-02 08:11:00,1,0,1,1,0,24848,24848,0,8,1
host-01,10.0.0.221,2026-06-04 03:05:00,1,0,1,1,0,36404,36404,0,3,1
host-01,10.0.0.221,2026-06-04 09:04:00,1,0,1,1,0,20601,20601,0,9,1
host-01,10.0.0.221,2026-06-05 08:47:00,1,0,1,1,0,13694,13694,0,8,1
host-01,10.0.0.222,2026-06-01 18:55:00,1,0,1,1,0,25235,25235,0,18,1
host-01,10.0.0.222,2026-06-01 23:18:00,1,0,1,1,0,4745,4745,0,23,1
host-01,10.0.0.222,2026-06-04 03:29:00,1,0,1,1,0,10246,10246,0,3,1
host-01,10.0.0.226,2026-06-04 03:50:00,1,0,1,1,0,48222,48222,0,3,1
host-01,10.0.0.226,2026-06-04 20:48:00,1,0,1,1,0,34690,34690,0,20,1
host-01,10.0.0.227,2026-06-04 08:50:00,1,0,1,1,0,12882,12882,0,8,1
host-01,10.0.0.227,2026-06-05 03:50:00,1,0,1,1,0,42001,42001,0,3,1
host-01,10.0.0.228,2026-06-01 15:47:00,1,0,1,1,0,30964,30964,0,15,1
host-01,10.0.0.228,2026-06-05 07:26:00,1,0,1,1,0,1452,1452,0,7,1
host-01,10.0.0.229,2026-06-03 20:31:00,1,0,1,1,0,20483,20483,0,20,1
host-01,10.0.0.229,2026-06-05 11:07:00,1,0,1,1,0,20785,20785,0,11,1
host-01,10.0.0.229,2026-06-05 14:10:00,1,0,0,0,1,0,0,0,14,1
host-01,10.0.0.23,2026-06-04 11:07:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.230,2026-06-01 20:22:00,1,0,1,1,0,4539,4539,0,20,1
host-01,10.0.0.230,2026-06-02 03:46:00,1,0,1,1,0,8959,8959,0,3,1
host-01,10.0.0.230,2026-06-04 19:34:00,1,0,1,1,0,2006,2006,0,19,1
host-01,10.0.0.231,2026-06-03 22:00:00,1,0,1,1,0,43956,43956,0,22,1
host-01,10.0.0.234,2026-06-02 19:52:00,1,0,1,1,0,5039,5039,0,19,1
host-01,10.0.0.234,2026-06-04 07:46:00,1,0,0,0,1,0,0,0,7,1
host-01,10.0.0.235,2026-06-02 15:22:00,1,0,1,1,0,49334,49334,0,15,1
host-01,10.0.0.235,2026-06-04 08:39:00,1,0,1,1,0,14036,14036,0,8,1
host-01,10.0.0.235,2026-06-05 09:11:00,1,0,1,1,0,13102,13102,0,9,1
host-01,10.0.0.236,2026-06-03 12:22:00,1,0,0,0,1,0,0,0,12,1
host-01,10.0.0.237,2026-06-02 19:49:00,1,0,0,0,1,0,0,0,19,1
host-01,10.0.0.238,2026-06-02 03:44:00,1,0,1,1,0,23661,23661,0,3,1
host-01,10.0.0.238,2026-06-03 09:36:00,1,0,1,1,0,41432,41432,0,9,1
host-01,10.0.0.239,2026-06-01 02:58:00,1,0,1,1,0,47074,47074,0,2,1
host-01,10.0.0.239,2026-06-01 11:50:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.239,2026-06-01 12:14:00,1,0,1,1,0,3486,3486,0,12,1
host-01,10.0.0.239,2026-06-01 16:49:00,1,0,1,1,0,35176,35176,0,16,1
host-01,10.0.0.24,2026-06-02 18:42:00,1,0,1,1,0,5786,5786,0,18,1
host-01,10.0.0.24,2026-06-05 13:01:00,1,0,1,1,0,42435,42435,0,13,1
host-01,10.0.0.24,2026-06-05 16:04:00,1,0,1,1,0,40837,40837,0,16,1
host-01,10.0.0.240,2026-06-01 14:08:00,1,1,0,0,1,0,0,0,14,1
host-01,10.0.0.240,2026-06-02 09:25:00,1,0,0,0,1,0,0,0,9,1
host-01,10.0.0.241,2026-06-01 12:31:00,1,0,0,0,1,0,0,0,12,1
host-01,10.0.0.241,2026-06-03 09:02:00,1,0,1,1,0,21723,21723,0,9,1
host-01,10.0.0.242,2026-06-02 11:04:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.243,2026-06-05 21:57:00,1,0,1,1,0,4221,4221,0,21,1
host-01,10.0.0.244,2026-06-02 12:25:00,1,0,1,1,0,42530,42530,0,12,1
host-01,10.0.0.245,2026-06-01 18:07:00,1,0,1,1,0,26583,26583,0,18,1
host-01,10.0.0.245,2026-06-03 07:28:00,1,0,1,1,0,7757,7757,0,7,1
host-01,10.0.0.246,2026-06-01 13:39:00,1,0,0,0,1,0,0,0,13,1
host-01,10.0.0.246,2026-06-03 16:00:00,1,0,1,1,0,40611,40611,0,16,1
host-01,10.0.0.248,2026-06-04 17:22:00,1,0,0,0,1,0,0,0,17,1
host-01,10.0.0.25,2026-06-03 05:37:00,1,0,1,1,0,21503,21503,0,5,1
host-01,10.0.0.25,2026-06-03 14:46:00,1,0,1,1,0,13600,13600,0,14,1
host-01,10.0.0.25,2026-06-03 15:33:00,1,0,0,0,1,0,0,0,15,1
host-01,10.0.0.25,2026-06-04 12:23:00,1,0,0,0,1,0,0,0,12,1
host-01,10.0.0.250,2026-06-02 23:48:00,1,0,0,0,1,0,0,0,23,1
host-01,10.0.0.250,2026-06-03 07:05:00,1,0,1,1,0,1481,1481,0,7,1
host-01,10.0.0.250,2026-06-04 10:46:00,1,0,1,1,0,22166,22166,0,10,1
host-01,10.0.0.251,2026-06-03 03:57:00,1,0,1,1,0,44004,44004,0,3,1
host-01,10.0.0.251,2026-06-05 16:58:00,1,0,1,1,0,11645,11645,0,16,1
host-01,10.0.0.252,2026-06-03 12:15:00,1,0,0,0,1,0,0,0,12,1
host-01,10.0.0.252,2026-06-03 23:31:00,1,0,1,1,0,24866,24866,0,23,1
host-01,10.0.0.253,2026-06-02 09:30:00,1,0,1,1,0,14178,14178,0,9,1
host-01,10.0.0.253,2026-06-05 11:58:00,1,0,1,1,0,9783,9783,0,11,1
host-01,10.0.0.253,2026-06-05 13:52:00,1,0,0,0,1,0,0,0,13,1
host-01,10.0.0.26,2026-06-01 00:32:00,1,0,1,1,0,34999,34999,0,0,1
host-01,10.0.0.26,2026-06-01 11:18:00,1,0,0,0,1,0,0,0,11,1
host-01,10.0.0.26,2026-06-05 14:31:00,1,0,1,1,0,10545,10545,0,14,1
